goos: darwin
goarch: arm64
pkg: github.com/bakhod1r/cachex/bench
cpu: Apple M1
BenchmarkParallelMixedZipf/theine-8                	 2325740	       334.8 ns/op	       3 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/theine-8                	 3320581	       188.9 ns/op	       3 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/theine-8                	 3270186	       180.6 ns/op	       3 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/theine-8                	 3133788	       194.6 ns/op	       3 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/theine-8                	 2993256	       207.4 ns/op	       3 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/theine-8                	 3235513	       183.7 ns/op	       3 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/theine-8                	 3138039	       223.9 ns/op	       3 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/theine-8                	 3073926	       224.3 ns/op	       3 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/theine-8                	 2828331	       203.1 ns/op	       3 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/bigcache-8              	 4272282	       148.8 ns/op	      44 B/op	       1 allocs/op
BenchmarkParallelMixedZipf/bigcache-8              	 4216250	       149.4 ns/op	      44 B/op	       1 allocs/op
BenchmarkParallelMixedZipf/bigcache-8              	 4230253	       171.5 ns/op	      44 B/op	       1 allocs/op
BenchmarkParallelMixedZipf/bigcache-8              	 3503461	       185.4 ns/op	      44 B/op	       1 allocs/op
BenchmarkParallelMixedZipf/bigcache-8              	 3194386	       188.6 ns/op	      44 B/op	       1 allocs/op
BenchmarkParallelMixedZipf/bigcache-8              	 4113194	       147.8 ns/op	      44 B/op	       1 allocs/op
BenchmarkParallelMixedZipf/bigcache-8              	 4268394	       150.9 ns/op	      44 B/op	       1 allocs/op
BenchmarkParallelMixedZipf/bigcache-8              	 4036639	       159.5 ns/op	      44 B/op	       1 allocs/op
BenchmarkParallelMixedZipf/bigcache-8              	 3911306	       147.4 ns/op	      44 B/op	       1 allocs/op
BenchmarkParallelMixedZipf/bigcache-8              	 3442237	       157.7 ns/op	      44 B/op	       1 allocs/op
BenchmarkParallelMixedZipf/freecache-8             	 3740517	       167.5 ns/op	      44 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/freecache-8             	 3387656	       170.5 ns/op	      44 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/freecache-8             	 3839379	       167.5 ns/op	      44 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/freecache-8             	 3854722	       165.3 ns/op	      44 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/freecache-8             	 3441242	       161.7 ns/op	      44 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/freecache-8             	 3716188	       167.0 ns/op	      44 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/freecache-8             	 3895113	       166.0 ns/op	      44 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/freecache-8             	 3799977	       172.7 ns/op	      44 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/freecache-8             	 3714703	       160.8 ns/op	      44 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/freecache-8             	 3780627	       164.7 ns/op	      44 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/go-cache-8              	 1966232	       276.3 ns/op	       5 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/go-cache-8              	 2133894	       296.8 ns/op	       5 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/go-cache-8              	 2181272	       275.1 ns/op	       5 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/go-cache-8              	 2198252	       278.1 ns/op	       5 B/op	       0 allocs/op
